ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
758,Smilebuilderz,Dental (DSO),Regional Practice,Lancaster,PA,100,$10M-$25M,Patient engagement AI,$5K-$10K,Practice Manager,www.smilebuilderz.com,2,PA multi-location practice
759,Gentle Dental,Dental (DSO),Regional DSO,San Dimas,CA,2000,$100M-$200M,Scheduling AI,$8K-$15K,VP of Technology,www.gentledental.com,3,West Coast focused
760,Refresh Dental,Dental (DSO),Regional DSO,Pittsburgh,PA,800,$25M-$50M,Patient scheduling AI,$5K-$12K,Director of IT,www.refreshdental.com,2,PA/OH focused
761,Home Instead,Senior Care / Home Health,In-Home Care,Omaha,NE,100000,$1B+,Caregiver scheduling AI,$20K-$40K,Chief Technology Officer,www.homeinstead.com,5,1200+ franchises; largest senior care
762,Visiting Angels,Senior Care / Home Health,In-Home Care,Bryn Mawr,PA,25000,$200M-$500M,Patient monitoring AI,$10K-$25K,VP of Technology,www.visitingangels.com,4,578 franchise units
763,Right at Home,Senior Care / Home Health,In-Home Care,Omaha,NE,20000,$200M-$500M,Caregiver scheduling AI,$10K-$25K,Director of Technology,www.rightathome.net,4,734 total locations
764,Comfort Keepers,Senior Care / Home Health,In-Home Care,Irvine,CA,15000,$200M-$500M,Patient monitoring AI,$10K-$25K,CTO,www.comfortkeepers.com,4,625+ franchise locations
765,BrightStar Care,Senior Care / Home Health,Medical Home Care,Chicago,IL,10000,$200M-$500M,Compliance automation AI,$10K-$25K,Chief Technology Officer,www.brightstarcare.com,4,342 franchise units
766,Senior Helpers,Senior Care / Home Health,In-Home Care,Towson,MD,8000,$100M-$200M,Caregiver scheduling AI,$8K-$20K,VP of Technology,www.seniorhelpers.com,3,350+ locations
767,Interim HealthCare,Senior Care / Home Health,Home Health,Sunrise,FL,40000,$1B+,Patient monitoring AI,$15K-$30K,CTO,www.interimhealthcare.com,5,Caring Brands; 50+ year history
768,Kindred at Home (Humana),Senior Care / Home Health,Home Health,Louisville,KY,43000,$5B+,Care coordination AI,$25K-$50K,Chief Technology Officer,www.kindredathome.com,5,Humana subsidiary; largest home health
769,Amedisys,Senior Care / Home Health,Home Health/Hospice,Baton Rouge,LA,21000,$1B+,Patient monitoring AI,$20K-$40K,CTO,www.amedisys.com,5,NASDAQ listed; home health leader
770,LHC Group (UnitedHealth),Senior Care / Home Health,Home Health,Lafayette,LA,30000,$1B+,Compliance automation AI,$20K-$40K,VP of Technology,www.lhcgroup.com,5,UnitedHealth subsidiary
771,Encompass Health,Senior Care / Home Health,Home Health/Rehab,Birmingham,AL,50000,$5B+,Care coordination AI,$25K-$50K,Chief Technology Officer,www.encompasshealth.com,5,NYSE listed; rehab + home health
772,AccordantHealth (CVS),Senior Care / Home Health,Home Health,Greensboro,NC,1000,$100M-$200M,Patient monitoring AI,$8K-$20K,Director of Technology,www.accordant.com,3,CVS specialty pharmacy
773,Addus HomeCare,Senior Care / Home Health,Home Care,Frisco,TX,35000,$1B+,Caregiver scheduling AI,$15K-$30K,CTO,www.addus.com,4,NASDAQ listed; multi-service
774,Almost Family (LHC),Senior Care / Home Health,Home Health,Louisville,KY,8000,$500M-$1B,Compliance automation AI,$10K-$25K,VP of Technology,www.almostfamily.com,3,Now part of LHC Group
775,Bayada Home Health Care,Senior Care / Home Health,Home Health,Moorestown,NJ,26000,$1B+,Caregiver scheduling AI,$15K-$30K,Chief Technology Officer,www.bayada.com,5,360+ offices; nonprofit
776,Elara Caring,Senior Care / Home Health,Home Health,Dallas,TX,30000,$1B+,Patient monitoring AI,$15K-$30K,CTO,www.elara.com,4,Merger of Great Elm + National HPC
777,Aveanna Healthcare,Senior Care / Home Health,Home Health/Pediatric,Atlanta,GA,32000,$1B+,Compliance automation AI,$15K-$30K,VP of Technology,www.aveanna.com,4,NASDAQ listed; pediatric focus
778,ComForCare Home Care,Senior Care / Home Health,In-Home Care,Bloomfield Hills,MI,5000,$50M-$100M,Caregiver scheduling AI,$5K-$15K,Director of IT,www.comforcare.com,3,212 franchise units
779,FirstLight Home Care,Senior Care / Home Health,In-Home Care,Cincinnati,OH,4000,$50M-$100M,Patient monitoring AI,$5K-$15K,VP of Technology,www.firstlighthomecare.com,3,189 locations
780,Griswold Home Care,Senior Care / Home Health,In-Home Care,Blue Bell,PA,3000,$50M-$100M,Caregiver scheduling AI,$5K-$15K,Director of Technology,www.griswoldhomecare.com,3,180 locations; since 1982
781,HomeWell Care Services,Senior Care / Home Health,In-Home Care,Burkburnett,TX,2000,$25M-$50M,Scheduling AI,$5K-$12K,VP of Operations,www.homewellcares.com,2,145 units
782,Amada Senior Care,Senior Care / Home Health,In-Home Care,San Clemente,CA,2500,$25M-$50M,Patient monitoring AI,$5K-$15K,Director of Technology,www.amadaseniorcare.com,3,150+ locations
783,Assisting Hands,Senior Care / Home Health,In-Home Care,Des Plaines,IL,3000,$50M-$100M,Caregiver scheduling AI,$5K-$15K,VP of Technology,www.assistinghands.com,3,200 franchise units
784,Homewatch CareGivers,Senior Care / Home Health,In-Home Care,Denver,CO,4500,$50M-$100M,Compliance automation AI,$5K-$15K,Director of IT,www.homewatchcaregivers.com,3,30+ states; 7 countries
785,SYNERGY HomeCare,Senior Care / Home Health,In-Home Care,Gilbert,AZ,3000,$50M-$100M,Caregiver scheduling AI,$5K-$15K,VP of Technology,www.synergyhomecare.com,3,200+ franchise locations
786,Home Helpers Home Care,Senior Care / Home Health,In-Home Care,Cincinnati,OH,3000,$50M-$100M,Patient monitoring AI,$5K-$15K,Director of Technology,www.homehelpershomecare.com,3,300+ territories
787,Always Best Care,Senior Care / Home Health,In-Home Care,Roseville,CA,2000,$25M-$50M,Compliance automation AI,$5K-$12K,VP of Operations,www.alwaysbestcare.com,2,200+ franchise locations
788,CarePatrol,Senior Care / Home Health,Senior Placement,Gilbert,AZ,500,$25M-$50M,Matching AI,$5K-$12K,CTO,www.carepatrol.com,3,Franchise placement service
789,Enhabit Home Health & Hospice,Senior Care / Home Health,Home Health,Dallas,TX,10000,$1B+,Care coordination AI,$15K-$30K,Chief Technology Officer,www.ehab.com,4,NYSE listed; spin-off from Encompass
790,Angels of Care Pediatric Home Health,Senior Care / Home Health,Pediatric Home Health,Bedford,TX,2000,$50M-$100M,Caregiver scheduling AI,$5K-$15K,Director of IT,www.angelsofcare.com,3,Texas-based pediatric
791,ProMedica Senior Care,Senior Care / Home Health,Senior Living,Toledo,OH,15000,$1B+,Patient monitoring AI,$15K-$30K,VP of Technology,www.promedica.org,4,Non-profit; multi-service
792,Sunrise Senior Living,Senior Care / Home Health,Assisted Living,McLean,VA,30000,$1B+,Resident monitoring AI,$15K-$30K,Chief Technology Officer,www.sunriseseniorliving.com,4,320+ communities
793,Brookdale Senior Living,Senior Care / Home Health,Senior Living,Brentwood,TN,42000,$1B+,Caregiver scheduling AI,$20K-$40K,CTO,www.brookdale.com,5,NYSE listed; largest senior living
794,Five Star Senior Living,Senior Care / Home Health,Senior Living,Newton,MA,16000,$500M-$1B,Resident monitoring AI,$10K-$25K,VP of Technology,www.fivestarseniorliving.com,3,250+ communities
795,Atria Senior Living,Senior Care / Home Health,Senior Living,Louisville,KY,12000,$1B+,Patient monitoring AI,$15K-$25K,Chief Technology Officer,www.atriaseniorliving.com,4,200+ communities
796,Life Care Centers of America,Senior Care / Home Health,Skilled Nursing,Cleveland,TN,25000,$1B+,Compliance automation AI,$15K-$30K,CTO,www.lcca.com,4,200+ facilities
797,The Ensign Group,Senior Care / Home Health,Skilled Nursing,San Juan Capistrano,CA,40000,$1B+,Care coordination AI,$15K-$30K,VP of Technology,www.ensigngroup.net,4,NASDAQ listed; 275+ facilities
798,National HealthCare Corp,Senior Care / Home Health,Long-Term Care,Murfreesboro,TN,12000,$1B+,Patient monitoring AI,$10K-$25K,Director of IT,www.nhccare.com,3,70+ facilities
799,Sabra Health Care REIT,Senior Care / Home Health,Healthcare REIT,Irvine,CA,100,$500M-$1B,Portfolio analytics AI,$10K-$20K,VP of Technology,www.sabrahealth.com,3,NASDAQ listed; senior care REIT
800,CareFinders Total Care,Senior Care / Home Health,Home Care,Clark,NJ,200,$10M-$25M,Caregiver scheduling AI,$5K-$10K,Director of Operations,www.carefindersinc.com,2,NJ home care provider
801,Moneta Group,Financial Advisory / Wealth Management,RIA,St. Louis,MO,600,$200M-$500M,Portfolio reporting AI,$15K-$30K,Chief Technology Officer,www.monetagroup.com,4,#1 fee-only RIA; $42.8B AUM
802,EP Wealth Advisors,Financial Advisory / Wealth Management,RIA,Torrance,CA,500,$100M-$200M,Client communication AI,$10K-$25K,CTO,www.epwealth.com,4,$35.6B AUM
803,Savant Wealth Management,Financial Advisory / Wealth Management,RIA,Rockford,IL,300,$100M-$200M,Compliance AI,$10K-$20K,Director of Technology,www.savantwealth.com,3,$29.6B AUM
804,Homrich Berg,Financial Advisory / Wealth Management,RIA,Atlanta,GA,200,$50M-$100M,Portfolio reporting AI,$8K-$20K,VP of Technology,www.homrichberg.com,3,$18.6B AUM
805,Mercer Advisors,Financial Advisory / Wealth Management,RIA,Denver,CO,1200,$200M-$500M,Client onboarding AI,$10K-$25K,Chief Technology Officer,www.merceradvisors.com,4,Top 5 RIA; $50B+ AUM
806,Creative Planning,Financial Advisory / Wealth Management,RIA,Overland Park,KS,2000,$500M-$1B,Portfolio analytics AI,$15K-$30K,CTO,www.creativeplanning.com,5,Peter Mallouk; $300B+ AUM
807,Fisher Investments,Financial Advisory / Wealth Management,RIA,Camas,WA,5000,$1B+,Client communication AI,$20K-$40K,Chief Technology Officer,www.fisherinvestments.com,5,$200B+ AUM
808,Edelman Financial Engines,Financial Advisory / Wealth Management,RIA,Santa Clara,CA,3000,$1B+,Portfolio reporting AI,$15K-$30K,CTO,www.edelmanfinancialengines.com,5,Largest RIA by advisors
809,Hightower Advisors,Financial Advisory / Wealth Management,RIA Network,Chicago,IL,1200,$200M-$500M,Compliance AI,$10K-$25K,VP of Technology,www.hightoweradvisors.com,4,$130B+ AUM
810,Mariner Wealth Advisors,Financial Advisory / Wealth Management,RIA,Overland Park,KS,1500,$200M-$500M,Client onboarding AI,$10K-$25K,Chief Technology Officer,www.marinerwealthadvisors.com,4,$100B+ AUM
811,Beacon Pointe Advisors,Financial Advisory / Wealth Management,RIA,Newport Beach,CA,300,$50M-$100M,Portfolio reporting AI,$8K-$20K,Director of IT,www.beaconpointe.com,3,$30B+ AUM
812,Buckingham Strategic Wealth,Financial Advisory / Wealth Management,RIA,St. Louis,MO,200,$50M-$100M,Compliance AI,$8K-$15K,CTO,www.buckinghamstrategicwealth.com,3,Evidence-based investing
813,Carson Group,Financial Advisory / Wealth Management,RIA Network,Omaha,NE,500,$100M-$200M,Client communication AI,$10K-$20K,Chief Technology Officer,www.carsongroup.com,4,Ron Carson; advisor platform
814,Captrust Financial Advisors,Financial Advisory / Wealth Management,RIA,Raleigh,NC,1000,$200M-$500M,Portfolio analytics AI,$10K-$25K,VP of Technology,www.captrust.com,4,$800B+ AUM; retirement focus
815,Raymond James,Financial Advisory / Wealth Management,Broker-Dealer,St. Petersburg,FL,15000,$10B+,Client engagement AI,$25K-$50K,Chief Technology Officer,www.raymondjames.com,5,NYSE listed; $1.4T AUM
816,Edward Jones,Financial Advisory / Wealth Management,Broker-Dealer,St. Louis,MO,52000,$10B+,Client communication AI,$30K-$50K,CTO,www.edwardjones.com,5,15K+ advisors; $1.9T AUA
817,Stifel Financial,Financial Advisory / Wealth Management,Broker-Dealer,St. Louis,MO,8500,$1B+,Portfolio reporting AI,$15K-$30K,VP of Technology,www.stifel.com,4,NYSE listed
818,Baird,Financial Advisory / Wealth Management,Broker-Dealer,Milwaukee,WI,4500,$1B+,Client engagement AI,$15K-$30K,Chief Technology Officer,www.bairdwealth.com,4,Employee-owned
819,LPL Financial,Financial Advisory / Wealth Management,Independent BD,San Diego,CA,6000,$5B+,Advisor productivity AI,$25K-$50K,CTO,www.lpl.com,5,#1 independent BD; 32K advisors
820,Cetera Financial Group,Financial Advisory / Wealth Management,Network BD,Dallas,TX,2000,$500M-$1B,Compliance AI,$10K-$25K,Chief Technology Officer,www.cetera.com,4,8000+ advisors
821,Wealthfront,Financial Advisory / Wealth Management,Robo-Advisor,Palo Alto,CA,500,$100M-$200M,Portfolio optimization AI,$10K-$20K,CTO,www.wealthfront.com,4,UBS subsidiary; $70B+ AUM
822,Betterment,Financial Advisory / Wealth Management,Robo-Advisor,New York,NY,400,$100M-$200M,Tax optimization AI,$10K-$20K,Chief Technology Officer,www.betterment.com,4,Digital wealth management
823,Personal Capital (Empower),Financial Advisory / Wealth Management,Digital Wealth,San Carlos,CA,1000,$200M-$500M,Portfolio analytics AI,$10K-$25K,CTO,www.personalcapital.com,4,Empower subsidiary
824,Focus Financial Partners,Financial Advisory / Wealth Management,RIA Platform,New York,NY,5000,$1B+,Client onboarding AI,$15K-$30K,Chief Technology Officer,www.focusfinancialpartners.com,5,NASDAQ listed; $400B+ AUM
825,Pathstone,Financial Advisory / Wealth Management,Multi-Family Office,Englewood,NJ,300,$50M-$100M,Portfolio reporting AI,$8K-$20K,VP of Technology,www.pathstone.com,3,$30B+ AUM
826,Sanctuary Wealth,Financial Advisory / Wealth Management,RIA Network,Indianapolis,IN,200,$25M-$50M,Client communication AI,$5K-$15K,Director of Technology,www.sanctuarywealth.com,3,Growing RIA network
827,Dynasty Financial Partners,Financial Advisory / Wealth Management,RIA Platform,New York,NY,200,$50M-$100M,Compliance AI,$8K-$20K,CTO,www.dynastyfinancialpartners.com,3,RIA infrastructure platform
828,Steward Partners,Financial Advisory / Wealth Management,RIA,Washington,DC,100,$25M-$50M,Portfolio analytics AI,$5K-$15K,Director of IT,www.stewardpartners.com,3,Raymond James partnership
829,Cresset Capital,Financial Advisory / Wealth Management,Multi-Family Office,Chicago,IL,200,$50M-$100M,Portfolio reporting AI,$8K-$20K,Chief Technology Officer,www.cressetcapital.com,3,$50B+ AUM
830,Corient (CI Financial),Financial Advisory / Wealth Management,RIA Platform,Miami,FL,1500,$200M-$500M,Client onboarding AI,$10K-$25K,CTO,www.corient.com,4,CI Financial US wealth
831,Perigon Wealth,Financial Advisory / Wealth Management,RIA,San Francisco,CA,100,$25M-$50M,Compliance AI,$5K-$15K,VP of Technology,www.perigonwealth.com,3,Top ranked RIA
832,GHPIA,Financial Advisory / Wealth Management,RIA,Greenwich,CT,50,$10M-$25M,Portfolio reporting AI,$5K-$12K,Director of Operations,www.ghpia.com,2,CT-based wealth management
833,Plancorp,Financial Advisory / Wealth Management,RIA,St. Louis,MO,100,$25M-$50M,Client communication AI,$5K-$15K,Director of IT,www.plancorp.com,3,Buckingham affiliate
834,Sequoia Financial Group,Financial Advisory / Wealth Management,RIA,Akron,OH,300,$50M-$100M,Compliance AI,$8K-$15K,CTO,www.sequoia-financial.com,3,Growing RIA; Midwest
835,Bleakley Financial Group,Financial Advisory / Wealth Management,RIA,Fairfield,NJ,50,$10M-$25M,Portfolio reporting AI,$5K-$12K,Director of Technology,www.bleakley.com,2,NJ-based wealth management
836,SignatureFD,Financial Advisory / Wealth Management,RIA,Atlanta,GA,100,$25M-$50M,Client engagement AI,$5K-$15K,VP of Technology,www.signaturefd.com,3,Purpose-based planning
837,Aspiriant,Financial Advisory / Wealth Management,RIA,Los Angeles,CA,200,$50M-$100M,Portfolio analytics AI,$8K-$20K,Chief Technology Officer,www.aspiriant.com,3,$15B+ AUM
838,Telemus Capital,Financial Advisory / Wealth Management,RIA,Southfield,MI,80,$25M-$50M,Client communication AI,$5K-$12K,Director of IT,www.telemus.com,2,Michigan-based RIA
839,Crestwood Advisors,Financial Advisory / Wealth Management,RIA,Boston,MA,80,$25M-$50M,Portfolio reporting AI,$5K-$15K,CTO,www.crestwoodadvisors.com,3,FA Magazine 2025 ranking
840,Gresham Partners,Financial Advisory / Wealth Management,Family Office,Chicago,IL,80,$25M-$50M,Compliance AI,$5K-$15K,Director of Technology,www.greshampartners.com,3,$11.6B AUM; #20 fee-only RIA
841,Rollins Inc (Orkin),Pest Control / Cleaning Services,Pest Control,Atlanta,GA,18000,$1B+,Route optimization AI,$20K-$40K,Chief Technology Officer,www.rollins.com,5,NYSE listed; Orkin parent; $2.5B rev
842,Rentokil (Terminix),Pest Control / Cleaning Services,Pest Control,Reading,PA,30000,$5B+,Scheduling AI,$25K-$50K,CTO,www.rentokil-initial.com,5,Acquired Terminix; global leader
843,Arrow Exterminators,Pest Control / Cleaning Services,Pest Control,Atlanta,GA,3000,$200M-$500M,Route optimization AI,$10K-$25K,VP of Technology,www.arrowexterminators.com,4,Top 5 US pest control
844,Truly Nolen,Pest Control / Cleaning Services,Pest Control,Tucson,AZ,1500,$100M-$200M,Scheduling AI,$8K-$20K,Director of IT,www.trulynolen.com,3,95+ US locations; 200+ global
845,Cooks Pest Control,Pest Control / Cleaning Services,Pest Control,Decatur,AL,1500,$100M-$200M,Customer retention AI,$8K-$20K,VP of Technology,www.cookspest.com,3,Southeast leader; since 1926
846,HomeTeam Pest Defense,Pest Control / Cleaning Services,Pest Control,Dallas,TX,2000,$200M-$500M,Route optimization AI,$10K-$20K,Director of Technology,www.hometeampestdefense.com,3,Rollins subsidiary
847,ABC Home & Commercial,Pest Control / Cleaning Services,Multi-Service,Austin,TX,1500,$100M-$200M,Scheduling AI,$8K-$20K,VP of Operations,www.abchomeandcommercial.com,3,Pest + lawn + AC
848,Aptive Environmental,Pest Control / Cleaning Services,Pest Control,Provo,UT,5000,$200M-$500M,Customer retention AI,$10K-$25K,Chief Technology Officer,www.goaptive.com,4,Fast-growing; digital-first
849,Massey Services,Pest Control / Cleaning Services,Pest/Lawn,Orlando,FL,2800,$200M-$500M,Route optimization AI,$10K-$20K,Director of IT,www.masseyservices.com,3,Florida leader
850,Mosquito Squad,Pest Control / Cleaning Services,Specialty Pest,Virginia Beach,VA,1500,$50M-$100M,Scheduling AI,$5K-$15K,VP of Franchise,www.mosquitosquad.com,3,237 franchise units
851,ABC (ServiceMaster),Pest Control / Cleaning Services,Cleaning/Pest,Memphis,TN,13000,$1B+,Route optimization AI,$15K-$30K,Chief Technology Officer,www.servicemaster.com,5,ServiceMaster parent; Roark Capital
852,Jan-Pro Cleaning,Pest Control / Cleaning Services,Commercial Cleaning,Alpharetta,GA,10000,$200M-$500M,Scheduling AI,$10K-$25K,VP of Technology,www.jan-pro.com,4,10000+ franchise locations
853,Jani-King International,Pest Control / Cleaning Services,Commercial Cleaning,Addison,TX,9000,$200M-$500M,Customer retention AI,$10K-$20K,Director of IT,www.janiking.com,4,Worlds largest commercial cleaning
854,Coverall,Pest Control / Cleaning Services,Commercial Cleaning,Deerfield Beach,FL,8000,$100M-$200M,Route optimization AI,$8K-$20K,VP of Technology,www.coverall.com,3,9000+ franchisees
855,Vanguard Cleaning Systems,Pest Control / Cleaning Services,Commercial Cleaning,San Mateo,CA,5000,$100M-$200M,Scheduling AI,$8K-$15K,Director of Technology,www.vanguardcleaning.com,3,3000+ franchise partners
856,Stratus Building Solutions,Pest Control / Cleaning Services,Green Cleaning,Los Angeles,CA,4000,$100M-$200M,Customer retention AI,$5K-$15K,VP of Operations,www.stratusclean.com,3,Green cleaning franchise
857,Stanley Steemer,Pest Control / Cleaning Services,Carpet/Cleaning,Dublin,OH,5000,$200M-$500M,Scheduling AI,$10K-$20K,Chief Technology Officer,www.stanleysteemer.com,4,300+ locations
858,Merry Maids,Pest Control / Cleaning Services,Residential Cleaning,Memphis,TN,8000,$200M-$500M,Route optimization AI,$8K-$20K,VP of Technology,www.merrymaids.com,3,ServiceMaster brand
859,Molly Maid,Pest Control / Cleaning Services,Residential Cleaning,Waco,TX,5000,$100M-$200M,Scheduling AI,$5K-$15K,Director of Technology,www.mollymaid.com,3,Neighborly brand
860,The Maids,Pest Control / Cleaning Services,Residential Cleaning,Omaha,NE,3000,$50M-$100M,Route optimization AI,$5K-$15K,VP of Operations,www.maids.com,2,Franchise residential cleaning
861,CleanNet USA,Pest Control / Cleaning Services,Commercial Cleaning,Columbia,MD,3000,$50M-$100M,Customer retention AI,$5K-$12K,Director of IT,www.cleannetusa.com,2,Franchise commercial cleaning
862,Anago Cleaning Systems,Pest Control / Cleaning Services,Commercial Cleaning,Fort Lauderdale,FL,3000,$50M-$100M,Scheduling AI,$5K-$12K,VP of Technology,www.anagocleaning.com,2,Master franchise model
863,Office Pride,Pest Control / Cleaning Services,Commercial Cleaning,Winter Park,FL,1500,$25M-$50M,Route optimization AI,$5K-$10K,Director of Operations,www.officepride.com,2,Faith-based cleaning
864,OpenWorks,Pest Control / Cleaning Services,Facility Services,Phoenix,AZ,3000,$50M-$100M,Scheduling AI,$5K-$15K,VP of Technology,www.openworksweb.com,3,Facility management
865,ABM Industries,Pest Control / Cleaning Services,Facility Services,New York,NY,100000,$5B+,Building automation AI,$30K-$50K,Chief Technology Officer,www.abm.com,5,NYSE listed; facility services
866,ISS A/S (US),Pest Control / Cleaning Services,Facility Services,New York,NY,40000,$5B+,Workforce scheduling AI,$25K-$50K,CTO,www.us.issworld.com,5,Global facility services
867,Cintas,Pest Control / Cleaning Services,Facility/Uniforms,Cincinnati,OH,44000,$5B+,Route optimization AI,$25K-$50K,Chief Technology Officer,www.cintas.com,5,NYSE listed; uniforms + facilities
868,UniFirst,Pest Control / Cleaning Services,Uniforms/Cleaning,Wilmington,MA,14000,$1B+,Scheduling AI,$10K-$25K,VP of Technology,www.unifirst.com,4,NYSE listed; uniform services
869,Critter Control,Pest Control / Cleaning Services,Wildlife Control,Traverse City,MI,1000,$25M-$50M,Scheduling AI,$5K-$12K,Director of IT,www.crittercontrol.com,2,100+ locations
870,Pestmaster Services,Pest Control / Cleaning Services,Pest Control,Bishop,CA,200,$10M-$25M,Route optimization AI,$5K-$10K,Director of Operations,www.pestmaster.com,2,Government + commercial pest
871,Anticimex (US),Pest Control / Cleaning Services,Smart Pest,Philadelphia,PA,500,$50M-$100M,IoT pest monitoring AI,$8K-$20K,VP of Technology,www.anticimex.com,3,Swedish parent; smart pest tech
872,Mosquito Joe,Pest Control / Cleaning Services,Specialty Pest,Virginia Beach,VA,1500,$25M-$50M,Route optimization AI,$5K-$12K,Director of Franchise,www.mosquitojoe.com,2,Neighborly brand
873,Servpro,Pest Control / Cleaning Services,Restoration/Cleaning,Gallatin,TN,12000,$500M-$1B,Dispatch AI,$10K-$25K,Chief Technology Officer,www.servpro.com,4,2000+ franchise locations
874,PuroClean,Pest Control / Cleaning Services,Restoration/Cleaning,Tamarac,FL,3000,$100M-$200M,Scheduling AI,$5K-$15K,VP of Technology,www.puroclean.com,3,Paramedics of property damage
875,Restoration 1,Pest Control / Cleaning Services,Restoration,Waco,TX,2000,$50M-$100M,Dispatch AI,$5K-$12K,Director of Technology,www.restoration1.com,2,Franchise restoration
876,Presto-X (Rentokil),Pest Control / Cleaning Services,Pest Control,Omaha,NE,500,$50M-$100M,Route optimization AI,$5K-$15K,VP of Operations,www.prestox.com,3,Rentokil subsidiary; Midwest
877,Bulwark Exterminating,Pest Control / Cleaning Services,Pest Control,Mesa,AZ,300,$10M-$25M,Customer retention AI,$5K-$10K,Director of IT,www.bulwarkpestcontrol.com,2,Southwest pest control
878,Hulett Environmental,Pest Control / Cleaning Services,Pest Control,West Palm Beach,FL,800,$50M-$100M,Route optimization AI,$5K-$15K,VP of Technology,www.hulett.com,3,Florida pest leader
879,Turner Pest Control,Pest Control / Cleaning Services,Pest Control,Jacksonville,FL,400,$25M-$50M,Scheduling AI,$5K-$12K,Director of Operations,www.turnerpest.com,2,Jacksonville area leader
880,Modern Pest Services,Pest Control / Cleaning Services,Pest Control,Brunswick,ME,200,$10M-$25M,Route optimization AI,$5K-$10K,VP of Operations,www.modernpest.com,2,New England pest control
881,Quad (Quad/Graphics),Printing / Signage / Packaging,Commercial Printing,Sussex,WI,13000,$1B+,Order processing AI,$15K-$30K,Chief Technology Officer,www.quad.com,5,NYSE listed; largest US printer
882,RR Donnelley,Printing / Signage / Packaging,Commercial Printing,Chicago,IL,20000,$1B+,Estimating AI,$15K-$30K,CTO,www.rrd.com,5,NYSE listed; global print
883,Taylor Corporation,Printing / Signage / Packaging,Diversified Print,North Mankato,MN,10000,$1B+,Order processing AI,$10K-$25K,VP of Technology,www.taylor.com,4,Custom packaging + print
884,Cimpress (Vistaprint),Printing / Signage / Packaging,Online Printing,Waltham,MA,12000,$1B+,Quality control AI,$15K-$30K,Chief Technology Officer,www.cimpress.com,5,NASDAQ listed; mass customization
885,International Paper,Printing / Signage / Packaging,Packaging,Memphis,TN,39000,$10B+,Quality control AI,$30K-$50K,CTO,www.internationalpaper.com,5,NYSE listed; largest packaging co
886,Packaging Corp of America,Printing / Signage / Packaging,Corrugated Packaging,Lake Forest,IL,15000,$5B+,Estimating AI,$20K-$40K,VP of Innovation,www.packagingcorp.com,5,NYSE listed; since 1867
887,Graphic Packaging,Printing / Signage / Packaging,Consumer Packaging,Atlanta,GA,24000,$5B+,Quality control AI,$20K-$40K,Chief Technology Officer,www.graphicpkg.com,5,Fortune 500
888,Sealed Air,Printing / Signage / Packaging,Protective Packaging,Charlotte,NC,17000,$5B+,Supply chain AI,$20K-$40K,CTO,www.sealedair.com,5,BUBBLE WRAP maker; NYSE
889,Avery Dennison,Printing / Signage / Packaging,Labels/Packaging,Mentor,OH,36000,$5B+,Quality control AI,$25K-$50K,VP of Digital,www.averydennison.com,5,Fortune 500; labels leader
890,Oliver Inc,Printing / Signage / Packaging,Printing/Packaging,Twinsburg,OH,500,$50M-$100M,Order processing AI,$8K-$20K,VP of Technology,www.oliverinc.com,3,250+ years combined experience
891,Global Printing,Printing / Signage / Packaging,Consumer Packaging,Kowloon,HK,500,$50M-$100M,Quality control AI,$8K-$15K,Director of Operations,www.gprinting.com,3,International print solutions
892,Minuteman Press,Printing / Signage / Packaging,Franchise Print,Farmingdale,NY,5000,$200M-$500M,Estimating AI,$8K-$20K,VP of Franchise,www.minutemanpress.com,4,900+ franchise locations
893,AlphaGraphics,Printing / Signage / Packaging,Franchise Print,Salt Lake City,UT,2000,$100M-$200M,Order processing AI,$5K-$15K,Director of Technology,www.alphagraphics.com,3,250+ franchise locations
894,Sir Speedy,Printing / Signage / Packaging,Franchise Print,Mission Viejo,CA,1500,$50M-$100M,Estimating AI,$5K-$12K,VP of Operations,www.sirspeedy.com,2,Franchise Solutions brand
895,FASTSIGNS International,Printing / Signage / Packaging,Signage,Carrollton,TX,5000,$200M-$500M,Order processing AI,$8K-$20K,Chief Technology Officer,www.fastsigns.com,4,770+ franchise locations
896,Signs Now,Printing / Signage / Packaging,Signage,Daytona Beach,FL,1000,$25M-$50M,Estimating AI,$5K-$12K,Director of IT,www.signsnow.com,2,Franchise signage
897,YESCO,Printing / Signage / Packaging,Signage/Lighting,Salt Lake City,UT,1500,$100M-$200M,Quality control AI,$8K-$15K,VP of Technology,www.yesco.com,3,Sign manufacturing + service
898,SpeedPro Imaging,Printing / Signage / Packaging,Large Format Print,Denver,CO,800,$25M-$50M,Order processing AI,$5K-$12K,Director of Franchise,www.speedpro.com,2,Large format franchise
899,Signarama,Printing / Signage / Packaging,Signage,West Palm Beach,FL,3000,$100M-$200M,Estimating AI,$5K-$15K,VP of Technology,www.signarama.com,3,800+ franchise locations
900,Multi-Color Corporation,Printing / Signage / Packaging,Labels,Batavia,OH,6000,$1B+,Quality control AI,$10K-$25K,CTO,www.mcclabel.com,4,Now part of Clarios
901,SiO2 Materials Science,Printing / Signage / Packaging,Packaging Tech,Auburn,AL,300,$50M-$100M,Quality control AI,$8K-$15K,VP of Technology,www.sio2ms.com,3,High-tech packaging
