ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source,DM_Name,DM_Professional_Email,DM_Email_Patterns,DM_LinkedIn_Search,LinkedIn_Company,LinkedIn_People_Found,Twitter,Facebook,Instagram,YouTube,Name_Source,DM_Google_Search
722,Aspen Dental (TAG),Dental (DSO),Large DSO,Chicago,IL,18000,$1B+,Treatment plan AI,$25K-$50K,CTO,www.aspendental.com,5,1100+ practices; 45 states,info@aspendental.com,contact@aspendental.com,(754) 029-4658,(450) 861-5315,pattern,,,[first].[last]@aspendental.com; [f][last]@aspendental.com; [first]@aspendental.com; [first][last]@aspendental.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Aspen+Dental+%28TAG%29%22,https://www.linkedin.com/company/aspen-dental/,,https://twitter.com/aspendental,https://www.facebook.com/AspenDental/,,,,https://www.google.com/search?q=Aspen+Dental+%28TAG%29+%22CTO%22+site%3Alinkedin.com%2Fin
723,PDS Health,Dental (DSO),Large DSO,Irvine,CA,15000,$1B+,Billing automation AI,$20K-$40K,Chief Technology Officer,www.pdshealth.com,5,1000+ practices; 24 states,example@pacificdentalservices.com,,(714) 845-8500,(758) 748-6612; (784) 289-9024,scraped,,,[first].[last]@pdshealth.com; [f][last]@pdshealth.com; [first]@pdshealth.com; [first][last]@pdshealth.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22PDS+Health%22,https://www.linkedin.com/company/pdshlth,,https://x.com/pdshlth,https://www.facebook.com/pdshlth,https://www.instagram.com/pds_health/,https://www.youtube.com/@pdshealth,,https://www.google.com/search?q=PDS+Health+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
724,MB2 Dental,Dental (DSO),Partnership DSO,Dallas,TX,5000,$500M-$1B,Patient scheduling AI,$15K-$30K,VP of Technology,www.mb2dental.com,4,750+ practices; 35+ states,info@mb2dental.com,pr@mb2dental.com,(972) 869-3789,(176) 832-0298; (177) 240-3537,pattern,,,[first].[last]@mb2dental.com; [f][last]@mb2dental.com; [first]@mb2dental.com; [first][last]@mb2dental.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22MB2+Dental%22,https://www.linkedin.com/company/mb2-dental/,,https://twitter.com/mb2dental,https://www.facebook.com/mb2dental,https://www.instagram.com/mb2dental/,,,https://www.google.com/search?q=MB2+Dental+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
725,Sonrava Health,Dental (DSO),Large DSO,San Clemente,CA,7000,$500M-$1B,Billing automation,$15K-$30K,CTO,www.sonravahealth.com,4,600 offices; Western Dental,user@domain.com,,(682) 244-9027,(747) 076-2402; (314) 192-5352,scraped,,,[first].[last]@sonravahealth.com; [f][last]@sonravahealth.com; [first]@sonravahealth.com; [first][last]@sonravahealth.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Sonrava+Health%22,,,,http://www.facebook.com/2008/,,,,https://www.google.com/search?q=Sonrava+Health+%22CTO%22+site%3Alinkedin.com%2Fin
726,Smile Doctors,Dental (DSO),Orthodontic DSO,Memphis,TN,5000,$200M-$500M,Treatment plan AI,$10K-$25K,Chief Technology Officer,www.smiledoctors.com,4,550+ practices; ortho focus,info@smiledoctors.com,contact@smiledoctors.com,(035) 312-1003,(153) 488-9194; (177) 142-2135,pattern,,,[first].[last]@smiledoctors.com; [f][last]@smiledoctors.com; [first]@smiledoctors.com; [first][last]@smiledoctors.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Smile+Doctors%22,,,,https://www.facebook.com/smiledoctorsofficial,https://www.instagram.com/smiledoctorsofficial/,,,https://www.google.com/search?q=Smile+Doctors+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
727,Dental Care Alliance,Dental (DSO),Large DSO,Sarasota,FL,5000,$500M-$1B,Patient engagement AI,$15K-$25K,VP of Technology,www.dentalcarealliance.com,4,360+ practices; 21 states,info@dentalcarealliance.com,contact@dentalcarealliance.com,(177) 220-5338,(046) 153-8461; (175) 994-7515,pattern,,,[first].[last]@dentalcarealliance.com; [f][last]@dentalcarealliance.com; [first]@dentalcarealliance.com; [first][last]@dentalcarealliance.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Dental+Care+Alliance%22,https://www.linkedin.com/company/dental-care-alliance,,,https://www.facebook.com/DentalCareAlliance,https://www.instagram.com/dentalcarealliance/,,,https://www.google.com/search?q=Dental+Care+Alliance+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
728,Benevis,Dental (DSO),Pediatric DSO,Atlanta,GA,4000,$200M-$500M,Billing automation AI,$10K-$20K,Director of IT,www.benevis.com,3,Pediatric/Medicaid focus,info@benevis.com,contact@benevis.com,(177) 203-2338,(677) 245-2373; (638) 921-2861,pattern,,,[first].[last]@benevis.com; [f][last]@benevis.com; [first]@benevis.com; [first][last]@benevis.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Benevis%22,https://www.linkedin.com/company/benevisdental,,,https://www.facebook.com/benevishealth,https://www.instagram.com/beneviscorp/,,,https://www.google.com/search?q=Benevis+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
729,American Dental Partners,Dental (DSO),Large DSO,Wakefield,MA,3000,$200M-$500M,Scheduling AI,$10K-$20K,CTO,www.amdpi.com,3,Multi-state DSO,info@amdpi.com,contact@amdpi.com,,,pattern,,,[first].[last]@amdpi.com; [f][last]@amdpi.com; [first]@amdpi.com; [first][last]@amdpi.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22American+Dental+Partners%22,,,,,,,,https://www.google.com/search?q=American+Dental+Partners+%22CTO%22+site%3Alinkedin.com%2Fin
730,Smile Brands,Dental (DSO),Large DSO,Irvine,CA,8000,$500M-$1B,Patient scheduling AI,$15K-$30K,Chief Technology Officer,www.smilebrands.com,4,600+ offices,info@smilebrands.com,contact@smilebrands.com,(173) 030-7346,(296) 401-6857; (539) 999-5114,pattern,,,[first].[last]@smilebrands.com; [f][last]@smilebrands.com; [first]@smilebrands.com; [first][last]@smilebrands.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Smile+Brands%22,https://www.linkedin.com/company/smile-brands-inc,,,https://www.facebook.com/smilebrandsinc,https://www.instagram.com/smilebrands,,,https://www.google.com/search?q=Smile+Brands+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
731,ClearChoice Dental,Dental (DSO),Implant Centers,Greenwood Village,CO,3000,$200M-$500M,Treatment plan AI,$10K-$25K,VP of Technology,www.clearchoice.com,4,TAG subsidiary; implant focus,info@clearchoice.com,contact@clearchoice.com,,,pattern,,,[first].[last]@clearchoice.com; [f][last]@clearchoice.com; [first]@clearchoice.com; [first][last]@clearchoice.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22ClearChoice+Dental%22,,,,,,,,https://www.google.com/search?q=ClearChoice+Dental+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
732,Pacific Dental Services,Dental (DSO),Partnership DSO,Irvine,CA,15000,$1B+,Clinical AI tools,$20K-$40K,CTO,www.pacificdentalservices.com,5,1000+ offices; dental innovation,info@pacificdentalservices.com,contact@pacificdentalservices.com,,,pattern,,,[first].[last]@pacificdentalservices.com; [f][last]@pacificdentalservices.com; [first]@pacificdentalservices.com; [first][last]@pacificdentalservices.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Pacific+Dental+Services%22,,,,,,,,https://www.google.com/search?q=Pacific+Dental+Services+%22CTO%22+site%3Alinkedin.com%2Fin
733,Affordable Care (Affordable Dentures),Dental (DSO),Value DSO,Kinston,NC,3000,$200M-$500M,Billing automation AI,$8K-$20K,Director of Technology,www.affordabledentures.com,3,250+ locations; denture focus,communications@affordablecare.com,,(503) 589-2226,(800) 336-8873; (866) 318-1533,scraped,,,[first].[last]@affordabledentures.com; [f][last]@affordabledentures.com; [first]@affordabledentures.com; [first][last]@affordabledentures.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Affordable+Care+%28Affordable+Dentures%29%22,https://www.linkedin.com/company/affordable-dentures/,,https://x.com/LifeatADI,https://www.facebook.com/AffordableDenturesImplants/,https://www.instagram.com/affordabledenturesimplants/,https://www.youtube.com/channel/UCXFmVCcr_bcabRIGHtjN7yQ,,https://www.google.com/search?q=Affordable+Care+%28Affordable+Dentures%29+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
734,Great Expressions Dental,Dental (DSO),Mid-Size DSO,Southfield,MI,2500,$200M-$500M,Patient engagement AI,$8K-$20K,VP of IT,www.greatexpressions.com,3,300+ offices; 10 states,info@greatexpressions.com,contact@greatexpressions.com,(176) 239-9575,(175) 199-0091,pattern,,,[first].[last]@greatexpressions.com; [f][last]@greatexpressions.com; [first]@greatexpressions.com; [first][last]@greatexpressions.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+IT%22+%22Great+Expressions+Dental%22,,,,https://www.facebook.com/GreatExpressions/,https://www.instagram.com/great_expressions_dental/,,,https://www.google.com/search?q=Great+Expressions+Dental+%22VP+of+IT%22+site%3Alinkedin.com%2Fin
735,Mortenson Dental Partners,Dental (DSO),Mid-Size DSO,Louisville,KY,1500,$100M-$200M,Scheduling AI,$8K-$15K,Director of Technology,www.mortensondentalpartners.com,3,100+ locations,info@mortensondentalpartners.com,contact@mortensondentalpartners.com,(177) 240-3836,(177) 240-3837,pattern,,,[first].[last]@mortensondentalpartners.com; [f][last]@mortensondentalpartners.com; [first]@mortensondentalpartners.com; [first][last]@mortensondentalpartners.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Mortenson+Dental+Partners%22,,,,,,,,https://www.google.com/search?q=Mortenson+Dental+Partners+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
736,Specialty Dental Brands,Dental (DSO),Specialty DSO,Nashville,TN,1000,$50M-$100M,Treatment plan AI,$5K-$15K,CTO,www.specialtydentalbrands.com,3,Specialty focus; growing,info@specialtydentalbrands.com,contact@specialtydentalbrands.com,(504) 285-2153,(615) 678-0757; (692) 216-2286,pattern,,,[first].[last]@specialtydentalbrands.com; [f][last]@specialtydentalbrands.com; [first]@specialtydentalbrands.com; [first][last]@specialtydentalbrands.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Specialty+Dental+Brands%22,https://www.linkedin.com/company/specialty-dental-brands/,,,https://www.facebook.com/SpecialtyDentalBrands,,https://www.youtube.com/channel/UC1wS4uXSbcp7mLIT71XO8kg,,https://www.google.com/search?q=Specialty+Dental+Brands+%22CTO%22+site%3Alinkedin.com%2Fin
737,D4C Dental Brands,Dental (DSO),Pediatric DSO,Dallas,TX,2000,$100M-$200M,Patient scheduling AI,$8K-$20K,VP of Technology,www.d4cdentalbrands.com,3,Pediatric/ortho focus,deb.packard@d4c.com,,(000) 000-0029,(046) 692-9254; (725) 294-6067,scraped,,,[first].[last]@d4cdentalbrands.com; [f][last]@d4cdentalbrands.com; [first]@d4cdentalbrands.com; [first][last]@d4cdentalbrands.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22D4C+Dental+Brands%22,https://www.linkedin.com/company/d4c-dental-brands-inc,,,,,,,https://www.google.com/search?q=D4C+Dental+Brands+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
738,Sage Dental,Dental (DSO),Regional DSO,Boca Raton,FL,2000,$100M-$200M,Billing automation AI,$8K-$15K,Director of IT,www.sagedental.com,3,FL/GA focused,info@sagedental.com,,(122) 667-4599,(604) 706-8233; (177) 196-5387,pattern,,,[first].[last]@sagedental.com; [f][last]@sagedental.com; [first]@sagedental.com; [first][last]@sagedental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Sage+Dental%22,,,https://twitter.com/mysagedental,https://www.facebook.com/dentistlangley/,https://www.instagram.com/sage.dental/,,,https://www.google.com/search?q=Sage+Dental+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
739,Dental One Associates,Dental (DSO),Mid-Size DSO,Dallas,TX,1500,$100M-$200M,Patient engagement AI,$8K-$15K,CTO,www.dentaloneassociates.com,3,Southwest focused,info@dentaloneassociates.com,contact@dentaloneassociates.com,,,pattern,,,[first].[last]@dentaloneassociates.com; [f][last]@dentaloneassociates.com; [first]@dentaloneassociates.com; [first][last]@dentaloneassociates.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Dental+One+Associates%22,,,,,,,,https://www.google.com/search?q=Dental+One+Associates+%22CTO%22+site%3Alinkedin.com%2Fin
740,42 North Dental,Dental (DSO),Regional DSO,Waltham,MA,1000,$50M-$100M,Scheduling AI,$5K-$15K,Director of Technology,www.42northdental.com,3,New England focused,info@42northdental.com,contact@42northdental.com,(536) 869-9762,(537) 391-7220; (677) 860-3652,pattern,,,[first].[last]@42northdental.com; [f][last]@42northdental.com; [first]@42northdental.com; [first][last]@42northdental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%2242+North+Dental%22,,,,,,,,https://www.google.com/search?q=42+North+Dental+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
741,Perfect Teeth,Dental (DSO),Regional DSO,Denver,CO,1500,$50M-$100M,Patient scheduling AI,$5K-$15K,VP of Operations,www.perfectteeth.com,2,Colorado/NM focused,info@perfectteeth.com,contact@perfectteeth.com,(833) 893-1848,(331) 724-7401; (335) 724-7401,pattern,,,[first].[last]@perfectteeth.com; [f][last]@perfectteeth.com; [first]@perfectteeth.com; [first][last]@perfectteeth.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Perfect+Teeth%22,,,,https://www.facebook.com/perfectteeth,https://www.instagram.com/perfectteethdental/,,,https://www.google.com/search?q=Perfect+Teeth+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
742,Tend,Dental (DSO),Modern Dental,New York,NY,800,$50M-$100M,Patient experience AI,$8K-$20K,Chief Technology Officer,www.hellotend.com,3,Tech-forward dental startup,hello@hellotend.com,,(212) 686-3686,(177) 240-3838; (113) 860-2822,scraped,,,[first].[last]@hellotend.com; [f][last]@hellotend.com; [first]@hellotend.com; [first][last]@hellotend.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Tend%22,https://www.linkedin.com/company/tenddental,,https://twitter.com/tenddental,https://www.facebook.com/hellotend,https://www.instagram.com/hello_tend,,,https://www.google.com/search?q=Tend+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
743,Risas Dental,Dental (DSO),Value DSO,Phoenix,AZ,1000,$50M-$100M,Bilingual scheduling AI,$5K-$15K,Director of IT,www.risasdental.com,3,Hispanic community focus,info@risasdental.com,contact@risasdental.com,(844) 651-5280,(177) 220-9065; (177) 220-9066,pattern,,,[first].[last]@risasdental.com; [f][last]@risasdental.com; [first]@risasdental.com; [first][last]@risasdental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Risas+Dental%22,https://www.linkedin.com/company/risas-dental-and-braces,,https://twitter.com/RisasDental,https://www.facebook.com/RisasDental/,https://www.instagram.com/risasdental/,,,https://www.google.com/search?q=Risas+Dental+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
744,Rodeo Dental,Dental (DSO),Community DSO,Fort Worth,TX,800,$25M-$50M,Patient engagement AI,$5K-$12K,Director of Technology,www.rodeodental.com,2,Texas community focused,info@rodeodental.com,contact@rodeodental.com,(777) 777-7778,(112) 133-1712; (895) 806-5844,pattern,,,[first].[last]@rodeodental.com; [f][last]@rodeodental.com; [first]@rodeodental.com; [first][last]@rodeodental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Rodeo+Dental%22,https://www.linkedin.com/company/rodeo-dental-,,,https://www.facebook.com/rodeodental/,https://www.instagram.com/rodeodental/,,,https://www.google.com/search?q=Rodeo+Dental+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
745,Coast Dental,Dental (DSO),Regional DSO,Tampa,FL,2000,$100M-$200M,Billing automation,$8K-$15K,VP of IT,www.coastdental.com,3,Florida focused,howie.taylor@coastdental.com,,(877) 880-1212,(177) 806-7340; (877) 880-1212,scraped,,,[first].[last]@coastdental.com; [f][last]@coastdental.com; [first]@coastdental.com; [first][last]@coastdental.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+IT%22+%22Coast+Dental%22,https://www.linkedin.com/company/coast-dental/,,https://twitter.com/coastdental,https://www.facebook.com/coastdental,https://www.instagram.com/coastdentalofficial/,https://www.youtube.com/@coastdentalorthodontics2264,,https://www.google.com/search?q=Coast+Dental+%22VP+of+IT%22+site%3Alinkedin.com%2Fin
746,Brident Dental,Dental (DSO),Value DSO,Houston,TX,1500,$100M-$200M,Scheduling AI,$5K-$15K,Director of Operations,www.brident.com,3,Texas/CA focused,corporate@brident.com,recruiting@brident.com,(177) 212-9086,(855) 834-4451; (008) 113-1369,scraped,,,[first].[last]@brident.com; [f][last]@brident.com; [first]@brident.com; [first][last]@brident.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22Brident+Dental%22,,,,https://www.facebook.com/BridentDental/,https://www.instagram.com/BridentDental/,https://www.youtube.com/channel/UC-9LSvw-_QMbG4KJ6brL5hA,,https://www.google.com/search?q=Brident+Dental+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
747,Lightwave Dental,Dental (DSO),Partnership DSO,Minneapolis,MN,500,$25M-$50M,Patient records AI,$5K-$12K,CTO,www.lightwavepartners.com,2,Doctor-led partnership model,info@lightwavepartners.com,contact@lightwavepartners.com,,,pattern,,,[first].[last]@lightwavepartners.com; [f][last]@lightwavepartners.com; [first]@lightwavepartners.com; [first][last]@lightwavepartners.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Lightwave+Dental%22,,,,,,,,https://www.google.com/search?q=Lightwave+Dental+%22CTO%22+site%3Alinkedin.com%2Fin
748,DecisionOne Dental Partners,Dental (DSO),Partnership DSO,Dallas,TX,800,$25M-$50M,Treatment plan AI,$5K-$15K,VP of Technology,www.decisiononedental.com,2,TX focused partnership,info@decisiononedental.com,contact@decisiononedental.com,(927) 296-4851,(254) 535-2419; (394) 095-7316,pattern,,,[first].[last]@decisiononedental.com; [f][last]@decisiononedental.com; [first]@decisiononedental.com; [first][last]@decisiononedental.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22DecisionOne+Dental+Partners%22,https://www.linkedin.com/company/decisionone-dental-partners,,https://x.com/bolt,https://www.facebook.com/decisiononedentalpartners/,http://instagram.com/decisiononedental,,,https://www.google.com/search?q=DecisionOne+Dental+Partners+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
749,Marquee Dental Partners,Dental (DSO),Partnership DSO,Nashville,TN,600,$25M-$50M,Scheduling AI,$5K-$12K,Director of IT,www.marqueedental.com,2,SE partnership model,nfo@marqueedental.com,info@marqueedental.com,(444) 444-4444,(833) 333-3333,scraped,,,[first].[last]@marqueedental.com; [f][last]@marqueedental.com; [first]@marqueedental.com; [first][last]@marqueedental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Marquee+Dental+Partners%22,,,,,,,,https://www.google.com/search?q=Marquee+Dental+Partners+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
750,North American Dental Group,Dental (DSO),Mid-Size DSO,Pittsburgh,PA,2000,$100M-$200M,Patient engagement AI,$8K-$20K,Chief Technology Officer,www.nadentalgroup.com,3,14 states; 250+ locations,reisa@nadentalgroup.com,jbourdeau@adcetera.com,(669) 239-2641,(021) 323-1457; (167) 217-2269,scraped,,,[first].[last]@nadentalgroup.com; [f][last]@nadentalgroup.com; [first]@nadentalgroup.com; [first][last]@nadentalgroup.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22North+American+Dental+Group%22,,https://www.linkedin.com/in/gabrielle-mccarron-3b5bb053/; https://www.linkedin.com/in/dromary/; https://www.linkedin.com/in/stephen-castles-0a686125/,,,,,,https://www.google.com/search?q=North+American+Dental+Group+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
751,Dental365,Dental (DSO),Regional DSO,Garden City,NY,1000,$50M-$100M,Scheduling AI,$5K-$15K,Director of Technology,www.dental365.com,3,NY/NJ/CT focused,info@dental365.com,contact@dental365.com,,,pattern,,,[first].[last]@dental365.com; [f][last]@dental365.com; [first]@dental365.com; [first][last]@dental365.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Dental365%22,,,,,,,,https://www.google.com/search?q=Dental365+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
752,Jefferson Dental,Dental (DSO),Regional DSO,Dallas,TX,1500,$50M-$100M,Billing automation AI,$5K-$15K,VP of IT,www.jeffersondental.com,2,Texas focused; 70+ offices,info@jeffersondental.com,contact@jeffersondental.com,(176) 305-6129,(176) 305-6132,pattern,,,[first].[last]@jeffersondental.com; [f][last]@jeffersondental.com; [first]@jeffersondental.com; [first][last]@jeffersondental.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+IT%22+%22Jefferson+Dental%22,https://www.linkedin.com/company/jdc-healthcare-management-llc/,,,https://www.facebook.com/jeffersondental/,https://www.instagram.com/jeffersondental/,,,https://www.google.com/search?q=Jefferson+Dental+%22VP+of+IT%22+site%3Alinkedin.com%2Fin
753,Corus Orthodontists,Dental (DSO),Ortho DSO,Toronto,ON,800,$50M-$100M,Treatment plan AI,$5K-$15K,CTO,www.corusortho.com,3,US + Canada ortho network,info@corusortho.com,contact@corusortho.com,(333) 333-3333,(666) 666-6667; (666) 666-6667,pattern,,,[first].[last]@corusortho.com; [f][last]@corusortho.com; [first]@corusortho.com; [first][last]@corusortho.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Corus+Orthodontists%22,https://www.linkedin.com/company/corus-orthodontists/,https://linkedin.com/in/michael-sendyk-cpa-ca-222618191; https://www.linkedin.com/in/feiberomana/; https://www.linkedin.com/in/tracy-moawad-62a41b108/,,https://www.facebook.com/CorusOrthodontists/,https://www.instagram.com/corusortho/,https://www.youtube.com/channel/UCKTM8bN7G-A1ARnYTKbZ1KQ,,https://www.google.com/search?q=Corus+Orthodontists+%22CTO%22+site%3Alinkedin.com%2Fin
754,OrthoSynetics,Dental (DSO),Ortho Management,Metairie,LA,500,$25M-$50M,Practice management AI,$5K-$12K,Director of Technology,www.orthosynetics.com,2,Orthodontic practice management,info@orthosynetics.com,contact@orthosynetics.com,,,pattern,,,[first].[last]@orthosynetics.com; [f][last]@orthosynetics.com; [first]@orthosynetics.com; [first][last]@orthosynetics.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22OrthoSynetics%22,,,,,,,,https://www.google.com/search?q=OrthoSynetics+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
755,Kool Smiles (Benevis),Dental (DSO),Pediatric DSO,Atlanta,GA,2000,$100M-$200M,Scheduling AI,$5K-$15K,VP of Operations,www.mykoolsmiles.com,3,Benevis brand; pediatric,info@mykoolsmiles.com,contact@mykoolsmiles.com,(176) 418-9811,(177) 212-1088; (877) 200-2064,pattern,,,[first].[last]@mykoolsmiles.com; [f][last]@mykoolsmiles.com; [first]@mykoolsmiles.com; [first][last]@mykoolsmiles.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Kool+Smiles+%28Benevis%29%22,,,,https://www.facebook.com/MyKoolSmiles,https://www.instagram.com/mykoolsmiles/,,,https://www.google.com/search?q=Kool+Smiles+%28Benevis%29+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
756,Imagen Dental Partners,Dental (DSO),Partnership DSO,Scottsdale,AZ,400,$10M-$25M,Patient records AI,$5K-$12K,Director of IT,www.imagendentalpartners.com,2,AZ partnership model,info@imagendentalpartners.com,,(177) 240-3611,(177) 159-2414; (177) 159-2415,pattern,,,[first].[last]@imagendentalpartners.com; [f][last]@imagendentalpartners.com; [first]@imagendentalpartners.com; [first][last]@imagendentalpartners.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Imagen+Dental+Partners%22,https://www.linkedin.com/company/imagen-dental-partners/,,,https://www.facebook.com/imagendentalpartners,https://www.instagram.com/imagendentalpartners/,,,https://www.google.com/search?q=Imagen+Dental+Partners+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
757,My Community Dental Centers,Dental (DSO),Nonprofit DSO,Farwell,MI,500,$25M-$50M,Scheduling AI,$5K-$10K,Director of Technology,www.mydental.org,2,Michigan nonprofit dental,info@mydental.org,contact@mydental.org,(175) 510-0070,(177) 220-5973; (177) 220-5981,pattern,,,[first].[last]@mydental.org; [f][last]@mydental.org; [first]@mydental.org; [first][last]@mydental.org,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22My+Community+Dental+Centers%22,https://www.linkedin.com/company/my-community-dental-centers/,,https://x.com/MCDCDental,https://www.facebook.com/mydentalcenters,,,,https://www.google.com/search?q=My+Community+Dental+Centers+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
758,Smilebuilderz,Dental (DSO),Regional Practice,Lancaster,PA,100,$10M-$25M,Patient engagement AI,$5K-$10K,Practice Manager,www.smilebuilderz.com,2,PA multi-location practice,info@smilebuilderz.com,contact@smilebuilderz.com,(177) 012-6414,(177) 240-3842; (177) 127-9462,pattern,,,[first].[last]@smilebuilderz.com; [f][last]@smilebuilderz.com; [first]@smilebuilderz.com; [first][last]@smilebuilderz.com,https://www.linkedin.com/search/results/people/?keywords=%22Practice+Manager%22+%22Smilebuilderz%22,,,,https://www.facebook.com/tr,https://www.instagram.com/smilebuilderz/,,,https://www.google.com/search?q=Smilebuilderz+%22Practice+Manager%22+site%3Alinkedin.com%2Fin
759,Gentle Dental,Dental (DSO),Regional DSO,San Dimas,CA,2000,$100M-$200M,Scheduling AI,$8K-$15K,VP of Technology,www.gentledental.com,3,West Coast focused,jobs@gentledental.com,feedback@42northdental.com; practiceaffiliations@42northdental.com,(105) 798-2098,(781) 647-0772; (781) 895-9995,scraped,,,[first].[last]@gentledental.com; [f][last]@gentledental.com; [first]@gentledental.com; [first][last]@gentledental.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Gentle+Dental%22,,,https://twitter.com/gentledentalne,https://www.facebook.com/GentleDental,,,,https://www.google.com/search?q=Gentle+Dental+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
760,Refresh Dental,Dental (DSO),Regional DSO,Pittsburgh,PA,800,$25M-$50M,Patient scheduling AI,$5K-$12K,Director of IT,www.refreshdental.com,2,PA/OH focused,info@refreshdental.com,contact@refreshdental.com,,,pattern,,,[first].[last]@refreshdental.com; [f][last]@refreshdental.com; [first]@refreshdental.com; [first][last]@refreshdental.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22Refresh+Dental%22,,,,,,,,https://www.google.com/search?q=Refresh+Dental+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
